"","station_id","date","sinclair2017","post","affiliation","weekday","callsign","national_politics"
"133",4110,"9/20/2017",1,1,"ABC","Wed","KAEF",0.0982400591304348
"134",4110,"9/27/2017",1,1,"ABC","Wed","KAEF",0.176477113088235
"135",4110,"9/6/2017",1,1,"ABC","Wed","KAEF",0.0459360576470588
"136",4100,"6/16/2017",1,0,"FOX","Fri","KBVU",0.0066792275
"137",4100,"6/23/2017",1,0,"FOX","Fri","KBVU",0.0730397541666667
"138",4100,"6/30/2017",1,0,"FOX","Fri","KBVU",0.0574774836363636
"139",4100,"6/9/2017",1,0,"FOX","Fri","KBVU",0.0553267936363636
"140",4100,"7/14/2017",1,0,"FOX","Fri","KBVU",0.00631225818181818
"141",4100,"7/21/2017",1,0,"FOX","Fri","KBVU",0.0790818672727273
"142",4100,"7/28/2017",1,0,"FOX","Fri","KBVU",0.0388801733333333
"143",4100,"7/7/2017",1,0,"FOX","Fri","KBVU",0.0378357409090909
"144",4100,"8/11/2017",1,0,"FOX","Fri","KBVU",0.020909579
"145",4100,"8/18/2017",1,0,"FOX","Fri","KBVU",0.0528036925
"146",4100,"8/25/2017",1,0,"FOX","Fri","KBVU",0.0185157063636364
"147",4100,"8/4/2017",1,0,"FOX","Fri","KBVU",0.0181830133333333
"148",4100,"10/13/2017",1,1,"FOX","Fri","KBVU",0.02191129
"149",4100,"10/20/2017",1,1,"FOX","Fri","KBVU",0.0926564591666667
"150",4100,"10/27/2017",1,1,"FOX","Fri","KBVU",0.179108397272727
"151",4100,"10/6/2017",1,1,"FOX","Fri","KBVU",0.14073664
"152",4100,"11/10/2017",1,1,"FOX","Fri","KBVU",0.138454510909091
"153",4100,"11/17/2017",1,1,"FOX","Fri","KBVU",0.108943470909091
"154",4100,"11/24/2017",1,1,"FOX","Fri","KBVU",0.00164114727272727
"155",4100,"11/3/2017",1,1,"FOX","Fri","KBVU",0.210870206666667
"156",4100,"12/1/2017",1,1,"FOX","Fri","KBVU",0.118208742727273
"157",4100,"12/8/2017",1,1,"FOX","Fri","KBVU",0.100002731818182
"158",4100,"9/1/2017",1,1,"FOX","Fri","KBVU",0.02543807
"159",4100,"9/15/2017",1,1,"FOX","Fri","KBVU",0.060140745
"160",4100,"9/22/2017",1,1,"FOX","Fri","KBVU",0.0176835281818182
"161",4100,"9/29/2017",1,1,"FOX","Fri","KBVU",0.0858091954545455
"162",4100,"9/8/2017",1,1,"FOX","Fri","KBVU",0.0228937991666667
"163",4100,"6/12/2017",1,0,"FOX","Mon","KBVU",0.14904486
"164",4100,"6/19/2017",1,0,"FOX","Mon","KBVU",0.0317076408333333
"165",4100,"6/26/2017",1,0,"FOX","Mon","KBVU",0.095741325
"166",4100,"7/10/2017",1,0,"FOX","Mon","KBVU",0.0404623325
"167",4100,"7/17/2017",1,0,"FOX","Mon","KBVU",0.01408531
"168",4100,"7/24/2017",1,0,"FOX","Mon","KBVU",0.00553014363636364
"169",4100,"7/3/2017",1,0,"FOX","Mon","KBVU",0.0409984654545455
"170",4100,"7/31/2017",1,0,"FOX","Mon","KBVU",0.00749112181818182
"171",4100,"8/14/2017",1,0,"FOX","Mon","KBVU",0.0487692175
"172",4100,"8/21/2017",1,0,"FOX","Mon","KBVU",0.012438026
"173",4100,"8/28/2017",1,0,"FOX","Mon","KBVU",0.0180780190909091
"174",4100,"8/7/2017",1,0,"FOX","Mon","KBVU",0.0314159633333333
"175",4100,"10/16/2017",1,1,"FOX","Mon","KBVU",0.0187140545454545
"176",4100,"10/2/2017",1,1,"FOX","Mon","KBVU",0.186916254545455
"177",4100,"10/23/2017",1,1,"FOX","Mon","KBVU",0.0253799975
"178",4100,"10/30/2017",1,1,"FOX","Mon","KBVU",0.174538512
"179",4100,"10/9/2017",1,1,"FOX","Mon","KBVU",0.167847592727273
"180",4100,"11/13/2017",1,1,"FOX","Mon","KBVU",0.081625832
"181",4100,"11/20/2017",1,1,"FOX","Mon","KBVU",0.0924356388888889
"182",4100,"11/27/2017",1,1,"FOX","Mon","KBVU",0.0566842916666667
"183",4100,"11/6/2017",1,1,"FOX","Mon","KBVU",0.05365429
